"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"83885","","",2022-02-01,2022-02-28,3264798.0,3264798.0,3264798.0,3000000,monthly,IDR,approved,2022-03-01 05:43:11.000
"74465","","",2022-02-01,2022-02-28,1740387.0,1740387.0,1740387.0,45000,daily,IDR,approved,2022-03-01 05:47:04.000
"74639","","",2022-02-01,2022-02-28,718204.0,718204.0,718204.0,40000,daily,IDR,approved,2022-03-01 05:48:32.000
"74054","","",2022-02-01,2022-02-28,1879236.0,1879236.0,1879236.0,45000,daily,IDR,approved,2022-03-01 05:49:18.000
"79738","","",2022-02-01,2022-02-28,3679395.0,3679395.0,3679395.0,65000,daily,IDR,approved,2022-03-01 05:52:04.000
"79765","","",2022-02-01,2022-02-28,4005879.0,4005879.0,4005879.0,65000,daily,IDR,approved,2022-03-01 05:59:06.000
"83893","","",2022-02-01,2022-02-28,3555879.0,3555879.0,3555879.0,65000,daily,IDR,approved,2022-03-01 06:01:28.000
"83894","","",2022-02-01,2022-02-28,862582.0,862582.0,862582.0,65000,daily,IDR,approved,2022-03-01 06:03:03.000
"83888","","",2022-02-01,2022-02-28,2039580.0,2039580.0,2039580.0,65000,daily,IDR,approved,2022-03-01 06:04:35.000
"90377","","",2022-02-01,2022-02-28,1125000.0,1125000.0,1125000.0,750000,monthly,IDR,approved,2022-03-01 06:09:04.000
"91338","","",2022-02-01,2022-02-28,3652912.0,3652912.0,3652912.0,65000,daily,IDR,approved,2022-03-01 06:11:45.000
"90711","","",2022-02-01,2022-02-28,3073296.0,3073296.0,3073296.0,65000,daily,IDR,approved,2022-03-01 06:13:08.000
"90710","","",2022-02-01,2022-02-28,1862198.0,1862198.0,1862198.0,65000,daily,IDR,approved,2022-03-01 06:17:53.000
"90862","","",2022-02-01,2022-02-28,2456264.0,2456264.0,2456264.0,65000,daily,IDR,approved,2022-03-01 06:19:49.000
"92930","","",2022-02-01,2022-02-28,286237.0,286237.0,286237.0,55000,daily,IDR,approved,2022-03-01 06:21:11.000
"74027","","",2022-02-01,2022-02-28,3603574.0,3603574.0,3603574.0,3500000,monthly,IDR,approved,2022-03-01 06:30:17.000
"74138","","",2022-02-01,2022-02-28,1027500.0,1027500.0,1027500.0,1000000,monthly,IDR,approved,2022-03-01 06:31:32.000
"74025","","",2022-02-01,2022-02-28,1947500.0,1947500.0,1947500.0,2000000,monthly,IDR,approved,2022-03-01 06:33:12.000
"83902","","",2022-02-01,2022-02-28,2592822.0,2592822.0,2592822.0,2500000,monthly,IDR,approved,2022-03-01 06:34:56.000
"88348","","",2022-02-01,2022-02-28,2594604.0,2594604.0,2594604.0,2000000,monthly,IDR,approved,2022-03-01 06:37:53.000
"88357","","",2022-02-01,2022-02-28,1455000.0,1455000.0,1455000.0,1500000,monthly,IDR,approved,2022-03-01 06:39:46.000
"88347","","",2022-02-01,2022-02-28,2068869.0,2068869.0,2068869.0,2000000,monthly,IDR,approved,2022-03-01 06:40:28.000
"84932","","",2022-02-01,2022-02-28,234000.0,234000.0,234000.0,120000,daily,IDR,approved,2022-03-01 06:41:48.000
"75218","","",2022-03-01,2022-03-31,633670.83333333,633670.83,633670.83333333,15000,hourly,IDR,approved,2022-04-04 04:08:44.000
"93607","","",2022-03-01,2022-03-31,419250.0,419250.0,419250.0,120000,daily,IDR,approved,2022-04-11 07:23:16.000
"84932","","",2022-03-01,2022-03-31,487500.0,487500.0,487500.0,120000,daily,IDR,approved,2022-04-11 07:26:10.000
"85877","","",2022-03-01,2022-03-31,497250.0,497250.0,497250.0,120000,daily,IDR,approved,2022-04-11 07:29:26.000
"74027","","",2022-03-01,2022-03-31,3468009.0,3468009.0,3468009.0,3500000,monthly,IDR,approved,2022-04-11 07:31:37.000
"74138","","",2022-03-01,2022-03-31,1947500.0,1947500.0,1947500.0,2000000,monthly,IDR,approved,2022-04-11 07:33:36.000
"74025","","",2022-03-01,2022-03-31,1947500.0,1947500.0,1947500.0,2000000,monthly,IDR,approved,2022-04-11 07:34:40.000
"83902","","",2022-03-01,2022-03-31,2834703.0,2834703.0,2834703.0,2500000,monthly,IDR,approved,2022-04-11 07:35:58.000
"88348","","",2022-03-01,2022-03-31,2033814.0,2033814.0,2033814.0,2000000,monthly,IDR,approved,2022-04-11 07:38:27.000
"88357","","",2022-03-01,2022-03-31,1455000.0,1455000.0,1455000.0,1500000,monthly,IDR,approved,2022-04-11 07:39:57.000
"88347","","",2022-03-01,2022-03-31,2024854.0,2024854.0,2024854.0,2000000,monthly,IDR,approved,2022-04-11 07:45:18.000
"74053","","",2022-03-01,2022-03-31,3918147.0,3918147.0,3918147.0,3500000,monthly,IDR,approved,2022-04-11 07:46:56.000
"84541","","",2022-03-01,2022-03-31,4162127.0,4162127.0,4162127.0,3500000,monthly,IDR,approved,2022-04-11 07:48:51.000
"87864","","",2022-03-01,2022-03-31,4472930.0,4472930.0,4472930.0,3500000,monthly,IDR,approved,2022-04-11 07:50:34.000
"74050","","",2022-03-01,2022-03-31,2533401.74,2533401.74,2533401.74,1800000,monthly,IDR,approved,2022-04-11 07:52:18.000
"74052","","",2022-03-01,2022-03-31,0.0,0.0,0.0,1800000,monthly,IDR,approved,2022-04-11 07:59:16.000
"74049","","",2022-03-01,2022-03-31,3041431.0,3041431.0,3041431.0,1800000,monthly,IDR,approved,2022-04-11 08:00:10.000
"79738","","",2022-03-01,2022-03-31,2563402.73,2563402.73,2563402.73,1800000,monthly,IDR,approved,2022-04-11 08:04:15.000
"79765","","",2022-03-01,2022-03-31,3293401.74,3293401.74,3293401.74,1800000,monthly,IDR,approved,2022-04-11 08:07:36.000
"74461","","",2022-03-01,2022-03-31,3125579.0,3125579.0,3125579.0,3000000,monthly,IDR,approved,2022-04-11 08:14:22.000
"74042","","",2022-03-01,2022-03-31,2840870.74,2840870.74,2840870.74,2750000,monthly,IDR,approved,2022-04-11 08:16:55.000
"74556","","",2022-03-01,2022-03-31,1843828.0,1843828.0,1843828.0,1800000,monthly,IDR,approved,2022-04-11 08:17:42.000
"83884","","",2022-03-01,2022-03-31,3264587.0,3264587.0,3264587.0,3000000,monthly,IDR,approved,2022-04-11 08:19:18.000
"83885","","",2022-03-01,2022-03-31,3233910.0,3233910.0,3233910.0,3000000,monthly,IDR,approved,2022-04-11 08:21:26.000
"74465","","",2022-03-01,2022-03-31,1434587.0,1434587.0,1434587.0,45000,daily,IDR,approved,2022-04-11 08:24:49.000
"74639","","",2022-03-01,2022-03-31,621633.0,621633.0,621633.0,40000,daily,IDR,approved,2022-04-11 08:27:16.000
"74054","","",2022-03-01,2022-03-31,1366983.0,1366983.0,1366983.0,45000,daily,IDR,approved,2022-04-11 08:28:05.000
"83888","","",2022-03-01,2022-03-31,1340017.0,1340017.0,1340017.0,65000,daily,IDR,approved,2022-04-11 08:37:25.000
"90377","","",2022-03-01,2022-03-31,750000.0,750000.0,750000.0,750000,monthly,IDR,approved,2022-04-11 08:38:58.000
"91338","","",2022-03-01,2022-03-31,797083.0,797083.0,797083.0,65000,daily,IDR,approved,2022-04-11 08:39:13.000
"90862","","",2022-03-01,2022-03-31,1731353.0,1731353.0,1731353.0,65000,daily,IDR,approved,2022-04-11 08:44:08.000
