"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2022-06-04,08:00:00,15:00:00,+08:00,25200,0,not specified,"83888"
work,2023-04-29,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2023-07-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2023-03-04,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2023-02-07,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2023-08-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-07-04,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2022-11-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-09-04,15:30:00,21:30:00,+08:00,21600,0,not specified,"84541"
work,2022-11-01,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2023-03-03,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-01-09,17:00:00,22:00:00,+08:00,18000,0,not specified,"74639"
work,2022-08-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2023-07-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2022-04-11,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-01-29,08:00:00,15:00:00,+08:00,25140,60,not specified,"83893"
work,2022-09-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2023-02-25,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-12-05,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-09-17,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2022-03-27,15:00:00,22:00:00,+08:00,25200,0,not specified,"83888"
work,2021-12-27,08:30:00,14:30:00,+08:00,21600,0,not specified,"75963"
work,2022-01-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-12-21,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2022-04-17,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2021-11-27,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
free,2022-05-01,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-04-21,08:30:00,14:30:00,+08:00,21600,0,not specified,"84541"
work,2022-03-11,15:00:00,22:00:00,+08:00,25140,60,not specified,"90710"
work,2023-08-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-07-18,08:00:00,15:00:00,+08:00,25200,0,not specified,"74465"
work,2023-01-20,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-12-24,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2023-08-15,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-11-14,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2023-05-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2021-12-31,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2021-12-16,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2023-01-05,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2022-07-04,08:00:00,15:00:00,+08:00,25200,0,not specified,"120694"
work,2022-03-05,08:00:00,15:00:00,+08:00,25200,0,not specified,"92930"
work,2022-08-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-05-26,15:00:00,22:00:00,+08:00,25200,0,not specified,"74049"
work,2022-09-19,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2023-06-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-04-26,08:30:00,14:30:00,+08:00,21600,0,not specified,"75963"
work,2022-01-19,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-10-28,08:00:00,17:00:00,+08:00,32400,0,not specified,"90377"
work,2023-02-07,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-05-30,15:00:00,22:00:00,+08:00,25200,0,not specified,"120694"
work,2022-07-02,15:00:00,22:00:00,+08:00,25200,0,not specified,"83888"
